------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, 2.4
EnvLogger Viewer version, 1.16
downloading device type, iphone
device, Laser Revolution
downloading mode, manual
------------------------------,--------------------
serial number, 04BB FA00 CD56 0D
custom name, SHe4fiddle
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 4809
time diff [logger-smartphone](sec), 92
lat, 22.317291
long, 114.228048
accuracy (m), 65.0
------------------------------,--------------------
time,temp
2021-08-17 08:04:06,37.5
2021-08-17 08:19:06,37.8
2021-08-17 08:34:06,38.0
2021-08-17 08:49:06,36.6
2021-08-17 09:04:06,36.0
2021-08-17 09:19:06,32.7
2021-08-17 09:34:06,31.6
2021-08-17 09:49:06,31.1
2021-08-17 10:04:06,30.5
2021-08-17 10:19:06,30.2
2021-08-17 10:34:06,29.7
2021-08-17 10:49:06,29.0
2021-08-17 11:04:06,28.4
2021-08-17 11:19:06,28.0
2021-08-17 11:34:06,27.8
2021-08-17 11:49:06,27.5
2021-08-17 12:04:06,27.3
2021-08-17 12:19:06,27.2
2021-08-17 12:34:06,27.0
2021-08-17 12:49:06,27.1
2021-08-17 13:04:06,27.0
2021-08-17 13:19:06,26.8
2021-08-17 13:34:06,26.8
2021-08-17 13:49:06,26.5
2021-08-17 14:04:06,26.5
2021-08-17 14:19:06,26.4
2021-08-17 14:34:06,26.2
2021-08-17 14:49:06,26.1
2021-08-17 15:04:06,26.1
2021-08-17 15:19:06,26.1
2021-08-17 15:34:06,26.0
2021-08-17 15:49:06,26.2
2021-08-17 16:04:06,26.0
2021-08-17 16:19:06,25.8
2021-08-17 16:34:06,25.9
2021-08-17 16:49:06,25.7
2021-08-17 17:04:06,25.8
2021-08-17 17:19:06,26.0
2021-08-17 17:34:06,26.0
2021-08-17 17:49:06,26.0
2021-08-17 18:04:06,26.2
2021-08-17 18:19:06,26.3
2021-08-17 18:34:06,26.2
2021-08-17 18:49:06,26.2
2021-08-17 19:04:06,26.2
2021-08-17 19:19:06,26.3
2021-08-17 19:34:06,27.1
2021-08-17 19:49:06,27.6
2021-08-17 20:04:06,28.0
2021-08-17 20:19:06,27.9
2021-08-17 20:34:06,27.8
2021-08-17 20:49:06,27.2
2021-08-17 21:04:06,26.8
2021-08-17 21:19:06,27.0
2021-08-17 21:34:06,27.0
2021-08-17 21:49:06,26.7
2021-08-17 22:04:06,26.3
2021-08-17 22:19:06,26.3
2021-08-17 22:34:06,26.6
2021-08-17 22:49:06,27.1
2021-08-17 23:04:06,28.0
2021-08-17 23:19:06,28.4
2021-08-17 23:34:06,28.7
2021-08-17 23:49:06,28.8
2021-08-18 00:04:06,29.7
2021-08-18 00:19:06,29.4
2021-08-18 00:34:06,30.0
2021-08-18 00:49:06,35.3
2021-08-18 01:04:06,35.7
2021-08-18 01:19:06,37.6
2021-08-18 01:34:06,38.5
2021-08-18 01:49:06,39.4
2021-08-18 02:04:06,39.8
2021-08-18 02:19:06,41.3
2021-08-18 02:34:06,40.1
2021-08-18 02:49:06,41.1
2021-08-18 03:04:06,41.4
2021-08-18 03:19:06,42.2
2021-08-18 03:34:06,42.4
2021-08-18 03:49:06,41.4
2021-08-18 04:04:06,40.9
2021-08-18 04:19:06,41.0
2021-08-18 04:34:06,40.8
2021-08-18 04:49:06,40.6
2021-08-18 05:04:06,40.2
2021-08-18 05:19:06,40.6
2021-08-18 05:34:06,40.2
2021-08-18 05:49:06,39.7
2021-08-18 06:04:06,40.6
2021-08-18 06:19:06,40.9
2021-08-18 06:34:06,41.2
2021-08-18 06:49:06,39.6
2021-08-18 07:04:06,36.9
2021-08-18 07:19:06,34.3
2021-08-18 07:34:06,33.4
2021-08-18 07:49:06,33.1
2021-08-18 08:04:06,32.3
2021-08-18 08:19:06,32.2
2021-08-18 08:34:06,31.4
2021-08-18 08:49:06,31.1
2021-08-18 09:04:06,30.4
2021-08-18 09:19:06,30.0
2021-08-18 09:34:06,29.9
2021-08-18 09:49:06,29.8
2021-08-18 10:04:06,29.9
2021-08-18 10:19:06,29.5
2021-08-18 10:34:06,29.1
2021-08-18 10:49:06,28.5
2021-08-18 11:04:06,28.2
2021-08-18 11:19:06,27.9
2021-08-18 11:34:06,27.6
2021-08-18 11:49:06,27.4
2021-08-18 12:04:06,27.2
2021-08-18 12:19:06,27.1
2021-08-18 12:34:06,27.1
2021-08-18 12:49:06,26.9
2021-08-18 13:04:06,26.7
2021-08-18 13:19:06,26.6
2021-08-18 13:34:06,26.5
2021-08-18 13:49:06,26.6
2021-08-18 14:04:06,26.2
2021-08-18 14:19:06,26.0
2021-08-18 14:34:06,25.8
2021-08-18 14:49:06,25.7
2021-08-18 15:04:06,25.5
2021-08-18 15:19:06,25.4
2021-08-18 15:34:06,25.2
2021-08-18 15:49:06,25.3
2021-08-18 16:04:06,25.4
2021-08-18 16:19:06,25.4
2021-08-18 16:34:06,25.6
2021-08-18 16:49:06,25.5
2021-08-18 17:04:06,25.8
2021-08-18 17:19:06,26.1
2021-08-18 17:34:06,25.9
2021-08-18 17:49:06,25.8
2021-08-18 18:04:06,25.6
2021-08-18 18:19:06,25.6
2021-08-18 18:34:06,25.7
2021-08-18 18:49:06,25.6
2021-08-18 19:04:06,25.7
2021-08-18 19:19:06,27.6
2021-08-18 19:34:06,27.5
2021-08-18 19:49:06,27.7
2021-08-18 20:04:06,27.8
2021-08-18 20:19:06,27.8
2021-08-18 20:34:06,27.7
2021-08-18 20:49:06,27.8
2021-08-18 21:04:06,27.8
2021-08-18 21:19:06,27.9
2021-08-18 21:34:06,27.8
2021-08-18 21:49:06,27.7
2021-08-18 22:04:06,27.7
2021-08-18 22:19:06,27.9
2021-08-18 22:34:06,27.6
2021-08-18 22:49:06,27.6
2021-08-18 23:04:06,27.7
2021-08-18 23:19:06,27.8
2021-08-18 23:34:06,27.7
2021-08-18 23:49:06,27.9
2021-08-19 00:04:06,29.4
2021-08-19 00:19:06,29.1
2021-08-19 00:34:06,29.7
2021-08-19 00:49:06,36.5
2021-08-19 01:04:06,37.9
2021-08-19 01:19:06,35.9
2021-08-19 01:34:06,45.0
2021-08-19 01:49:06,37.5
2021-08-19 02:04:06,35.4
2021-08-19 02:19:06,39.0
2021-08-19 02:34:06,39.6
2021-08-19 02:49:06,40.4
2021-08-19 03:04:06,44.5
2021-08-19 03:19:06,35.2
2021-08-19 03:34:06,33.7
